#  Timestamp,  Temperature [2 m elevation corrected], Relative Humidity [2 m], Wind Speed [10 m], Wind Direction [10 m]
20201201 0000,-4.601812,82.0,58.059418,316.50745
20201201 0100,-5.601812,85.0,56.532608,316.54816
20201201 0200,-6.081812,84.0,54.475506,315.0
20201201 0300,-6.351812,85.0,53.009308,312.24753
20201201 0400,-6.541812,87.0,51.394333,309.60004
20201201 0500,-7.811812,89.0,47.304054,306.95712
20201201 0600,-8.391812,89.0,44.943806,310.45197
20201201 0700,-8.801812,88.0,41.616997,307.26642
20201201 0800,-9.381812,87.0,39.575443,301.2319
20201201 0900,-9.431812,86.0,39.621265,298.19498
20201201 1000,-8.301812,85.0,40.091133,297.25534
20201201 1100,-6.9018116,84.0,40.894478,296.11392
20201201 1200,-5.7618117,84.0,40.41311,295.88028
20201201 1300,-4.9218116,85.0,39.28456,296.09543
20201201 1400,-4.371812,85.0,36.402744,298.33914
20201201 1500,-4.6118116,86.0,31.435646,299.50073
20201201 1600,-6.451812,86.0,24.798225,297.68106
20201201 1700,-8.031812,86.0,21.068459,289.98312
20201201 1800,-8.811812,86.0,18.998314,279.8193
20201201 1900,-9.111813,87.0,18.014393,272.29062
20201201 2000,-9.071813,88.0,17.313717,266.42368
20201201 2100,-8.811812,88.0,17.163355,260.34012
20201201 2200,-8.541812,89.0,17.114204,255.37914
20201201 2300,-5.891812,91.0,16.394829,250.76932
20201202 0000,-3.5918121,91.0,16.78156,247.28558
20201202 0100,-2.481812,91.0,17.654688,249.71744
20201202 0200,-5.1318116,90.0,17.533146,250.82098
20201202 0300,-6.221812,91.0,17.114204,247.75098
20201202 0400,-6.8618116,90.0,16.904673,243.43495
20201202 0500,-8.241813,88.0,17.555307,241.8584
20201202 0600,-7.2618117,83.0,17.533146,250.82098
20201202 0700,-7.121812,82.0,16.263872,242.30054
20201202 0800,-7.411812,82.0,16.263872,242.30054
20201202 0900,-6.911812,84.0,16.09969,243.43495
20201202 1000,-5.771812,87.0,15.175612,247.69379
20201202 1100,-4.501812,89.0,13.854155,245.43283
20201202 1200,-3.0718122,92.0,13.0447235,242.02054
20201202 1300,-2.031812,93.0,12.287555,238.17256
20201202 1400,-1.651812,94.0,11.885453,234.86581
20201202 1500,-2.281812,92.0,13.392774,233.74615
20201202 1600,-3.371812,90.0,13.896187,233.42697
20201202 1700,-4.171812,88.0,13.896187,233.42697
20201202 1800,-3.5618122,81.0,13.37825,246.19406
20201202 1900,-3.611812,77.0,14.4,233.1301
20201202 2000,-4.2418118,79.0,17.84816,228.2705
20201202 2100,-4.9018116,82.0,18.584509,225.78482
20201202 2200,-5.391812,84.0,19.373219,221.98721
20201202 2300,-5.561812,85.0,20.12461,222.82526
20201203 0000,-5.7818117,85.0,19.64228,221.28471
20201203 0100,-6.061812,86.0,18.947083,218.82983
20201203 0200,-6.3018117,86.0,18.374111,214.62416
20201203 0300,-6.4218116,87.0,18.58451,211.53479
20201203 0400,-6.4918118,88.0,18.892282,210.96376
20201203 0500,-6.3418117,88.0,20.00512,210.25644
20201203 0600,-5.221812,84.0,21.370783,212.61925
20201203 0700,-4.941812,84.0,21.178896,211.79892
20201203 0800,-4.931812,84.0,21.67487,212.10626
20201203 0900,-3.971812,85.0,22.782625,211.42957
20201203 1000,-2.631812,86.0,23.166218,212.94922
20201203 1100,-1.411812,86.0,23.185787,216.15819
20201203 1200,-0.731812,87.0,20.898613,222.2073
20201203 1300,-0.64181197,90.0,18.626305,228.91824
20201203 1400,-0.9518119,93.0,16.1198,240.57254
20201203 1500,-1.9418119,94.0,16.418526,254.74487
20201203 1600,-3.701812,92.0,18.36353,268.8767
20201203 1700,-5.0518117,92.0,19.839235,281.51382
20201203 1800,-5.5118117,88.0,18.692286,285.64224
20201203 1900,-5.871812,86.0,19.586117,287.10272
